Dátum;Èas;Hladina

01.03.2022;11:19:06;0,69
01.03.2022;11:19:16;0,70
01.03.2022;11:19:26;0,70
01.03.2022;11:19:36;0,71
01.03.2022;11:19:46;0,71
01.03.2022;11:19:56;0,72
01.03.2022;11:20:06;0,72
01.03.2022;11:20:16;0,73
01.03.2022;11:20:26;0,73
01.03.2022;11:20:36;0,73
01.03.2022;11:20:46;0,74
01.03.2022;11:20:56;0,74
01.03.2022;11:21:06;0,74
01.03.2022;11:21:16;0,75
01.03.2022;11:21:26;0,75
01.03.2022;11:21:36;0,75
01.03.2022;11:21:46;0,75
01.03.2022;11:21:56;0,76
01.03.2022;11:22:06;0,76
01.03.2022;11:22:16;0,76
01.03.2022;11:22:26;0,76
01.03.2022;11:22:36;0,77
01.03.2022;11:22:46;0,77
01.03.2022;11:22:56;0,77
01.03.2022;11:23:06;0,77
01.03.2022;11:23:16;0,77
01.03.2022;11:23:26;0,78
01.03.2022;11:23:36;0,78
01.03.2022;11:23:46;0,78
01.03.2022;11:23:56;0,78
01.03.2022;11:24:06;0,78
01.03.2022;11:24:16;0,78
01.03.2022;11:24:26;0,78
01.03.2022;11:24:36;0,79
01.03.2022;11:24:46;0,79
01.03.2022;11:24:56;0,79
01.03.2022;11:25:06;0,79